Timestamp,Voltage(V),Current(A),Frequency(Hz),PowerFactor
0,230,5,50.0,0.99
1,229,5.1,50.1,0.98
2,231,5,49.9,0.99
3,90,15,50.0,0.95
4,88,16,50.1,0.94
5,230,5,51.5,0.98
6,232,5.2,51.8,0.97
7,231,6,50.0,0.88
8,229,6.1,49.9,0.85
9,230,5,48.8,0.96
10,228,5.2,48.5,0.95
11,232,5,50,0.941
12,228,5,50,0.945
13,224,4,50,0.986
14,239,6,50,0.956
15,228,6,50,1
16,228,6,50,0.932
17,230,4,50,0.958
18,236,4,50,0.969
19,226,6,50,0.966
20,223,7,50,0.975
21,228,6,50,0.999
22,229,4,50,0.958
23,230,5,50,0.965
24,237,5,50,0.96
25,228,6,50,0.972
26,224,5,50,0.972
27,227,4,50,0.943
28,224,5,50,0.956
29,233,5,50,1
30,231,5,50,0.97
31,232,6,50,0.961
32,241,6,50,0.935
33,229,5,50,0.988
34,229,5,50,0.942
35,229,5,50,0.999
36,227,4,50,0.97
37,220,7,50,0.942
38,226,4,50,0.98
39,224,5,50,0.963
40,72,19,50,0.945
41,83,17,50,0.95
42,85,20,50,0.962
43,73,20,50,0.986
44,80,19,50,0.957
45,81,19,50,0.941
46,83,19,50,0.957
47,73,21,50,0.964
48,74,22,50,0.979
49,77,20,50,0.953
50,78,19,50,0.965
51,89,22,50,0.946
52,86,20,50,0.944
53,91,22,50,0.932
54,74,18,50,1
55,74,17,50,0.98
56,224,6,50,1
57,228,5,50,0.989
58,236,3,50,0.99
59,224,4,50,0.944
60,223,5,50,0.945
61,239,5,50,0.958
62,228,4,50,0.971
63,230,5,50,0.972
64,222,5,50,0.957
65,227,4,50,0.976
66,227,4,50,0.982
67,224,5,50,0.99
68,226,5,50,0.96
69,237,5,50,0.957
70,235,5,50,0.989
71,216,5,50,1
72,236,6,50,0.975
73,240,5,50,0.951
74,234,4,50,0.981
75,225,6,50,0.966
76,227,5,50,0.989
77,231,5,50,0.986
78,228,6,50,0.967
79,237,5,50,0.965
80,230,4,50,0.942
81,227,5,50,0.974
82,224,5,50,0.967
83,221,5,50,0.963
84,218,5,50,0.942
85,215,4,50,0.96
86,212,5,50,1
87,209,5,50,1
88,206,5,50,0.959
89,203,7,50,0.98
90,200,5,50,0.942
91,197,6,50,0.967
92,194,4,50,0.974
93,191,5,50,0.956
94,188,6,50,0.945
